"Company","Job.Title","Location","Job.Type","Experience","Skill.1","Skill.2","Skill.3","Skill.4","Skill.5","Skill.6","Perk.1","Perk.2","Perk.3","ExperienceQualifications","ClassYearQualifications"
"Bosch Group","Website & Data analyses - Internship EU student","Breda, Netherlands","Full Time","Entry-level","E-commerce","Research","Testing","","","","Flex hours","","","at least one internship experience","seniors"
"HeadLight Technologies Inc.","Computer Vision Intern","Seattle, Washington, United States - Remote","Internship","Entry-level","Computer Vision","Consulting","Engineering","Machine Learning","","","Career development","","","at least two internship experiences","juniors"
"Trust Lab","Data Science Intern | Social Media Analysis | US, Canada, UK, Germany","Anywhere","Internship","Entry-level","AWS","Data analysis","Data visualization","Engineering","Machine intelligence","Machine Learning","Flex hours","Startup environment","","no experience","freshman or sophomores"
"TuneIn","Data Science Intern","San Francisco, CA","Internship","Entry-level","Computer Science","Data Mining","Deep Learning","Engineering","Excel","KPIs","Career development","","","at least two internship experiences","seniors"
"Deep6.ai","Machine Learning Engineer, Comprehension Intern","Remote or Pasadena, CA","Internship","Entry-level","Computer Science","ETL","Machine Learning","Mathematics","NLP","OOP","Career development","Competitive pay","Startup environment","no experience","freshman or sophomores"
"Deep6.ai","Data Analyst, Search Intern","Remote or Pasadena, CA","Internship","Entry-level","Business Analytics","Computer Science","Machine Learning","Mathematics","NLP","Python","Competitive pay","Startup environment","","at least two internship experiences","seniors"
"Motional","Summer 2023: Machine Learning Intern","Pittsburgh, Pennsylvania, United States","Internship","Entry-level","Architecture","Autonomous Driving","Computer Science","Data Mining","Distributed Systems","Machine Learning","401(k) matching","Career development","Equity","no experience","juniors"
"Kinaxis","Co-Op/Intern Software Engineer, AI Platform","Toronto, Canada; Remote, Canada","Internship","Entry-level","Big Data","Bitbucket","DevOps","Engineering","GitHub","Industrial","","","","no experience","juniors"
"Deutsche Telekom IT Solutions","Data Science Trainee - REF1574S","Budapest, Debrecen, Szeged, Pécs, Hungary","Full Time","Entry-level","Agile","Computer Science","Jira","Kanban","Keras","Machine Learning","Team events","","","no experience","seniors"
"SOMFY Group","Data Analyst (6 month internship) (M/F)","Cluses, France","Internship","Entry-level","Data management","Data quality","R","R&D","Testing","","Career development","","","at least one internship experience","freshman or sophomores"
"Visa","Intern, Associate Data Analyst","Austin, TX, United States","Internship","Entry-level","Computer Science","Data Analytics","Data visualization","Engineering","Excel","SQL","Equity","Health care","Insurance","at least one internship experience","seniors"
"Charles River Analytics Inc.","Natural Language Processing Intern","Cambridge, MA","Internship","Entry-level","Computer Science","LLMs","Machine Learning","NLP","OOP","Prototyping","Career development","Flex vacation","Snacks / Drinks","at least one internship experience","freshman or sophomores"
"Spendesk","Data Scientist Intern","Paris","Internship","Entry-level","Classification","Computer Science","Data visualization","Deep Learning","Finance","Linear algebra","Career development","Gear","Health care","at least one internship experience","juniors"
"Amazon.com","Amazon Robotics - Applied Scientist Intern - 2023","Westborough, Massachusetts, USA","Full Time","Entry-level","Computer Science","Computer Vision","Engineering","Machine Learning","Mathematics","PhD","","","","at least one internship experience","freshman or sophomores"
"DataCamp, Inc.","Machine Learning Content Development Intern","United Kingdom or Belgium","Internship","Entry-level","Engineering","GitHub","Machine Learning","MLFlow","Python","Teaching","Career development","Competitive pay","Equity","no experience","seniors"
"Visium","Junior Machine Learning Engineer - Zürich (internship)","Zürich, Zurich, Switzerland","Internship","Entry-level","Classification","Clustering","Computer Science","D3","Deep Learning","Engineering","Career development","Startup environment","Team events","at least one internship experience","freshman or sophomores"
"OpenX","Data Scientist - Intern","Los Angeles, CA","Internship","Entry-level","Architecture","AWS","Big Data","Computer Science","Data analysis","GCP","Career development","Startup environment","","at least one internship experience","freshman or sophomores"
"Blueground","Data Analysis Intern - Istanbul","İstanbul, İstanbul, Turkey","Internship","Entry-level","Business Intelligence","Data analysis","Data Analytics","Data quality","Engineering","Excel","Career development","Competitive pay","Flex hours","no experience","freshman or sophomores"
"Visium","Junior Machine Learning Engineer - Lausanne (internship)","Lausanne, Vaud, Switzerland","Internship","Entry-level","Classification","Clustering","Computer Science","D3","Deep Learning","Engineering","Career development","Startup environment","Team events","at least two internship experiences","seniors"
"Steel Perlot","Sports Data Science Intern","Los Angeles, California, San Francisco, California, New …","Internship","Entry-level","Bayesian","CI/CD","Computer Science","Data analysis","Data management","Engineering","401(k) matching","Career development","Competitive pay","at least one internship experience","juniors"
"Scandit","Computer Vision / Machine Learning Intern","Zürich","Internship","Entry-level","C++","Computer Science","Computer Vision","Machine Learning","ML models","NLP","Career development","Startup environment","Team events","no experience","freshman or sophomores"
"CGG","Machine Learning Engineer 2023 Internship Programme (6 months)","Crawley, United Kingdom","Internship","Entry-level","C++","Computer Science","Deep Learning","HPC","Machine Learning","Mathematics","Career development","Competitive pay","Fitness / gym","at least one internship experience","seniors"
"Publicis Groupe","Junior Data Analyst - Extra Curricular Internship","Torino, Italy","Full Time","Entry-level","Big Data","Computer Science","Consulting","Data analysis","Data Mining","Data quality","Flex hours","Wellness","","at least one internship experience","juniors"
"Bosch Group","Intern for AI Machine Learning - AquaEasy","Singapore, Singapore","Full Time","Entry-level","Data analysis","Data visualization","Machine Learning","Python","R","R&D","Career development","","","no experience","seniors"
"Censys","2023 Software Engineering Internship - Data Engineer","Ann Arbor, Michigan, United States","Internship","Entry-level","ANN","Engineering","Golang","Helm","Python","Research","Competitive pay","Home office stipend","Startup environment","no experience","seniors"
"Bosch Group","[Intern] AI/ Computer Vision Engineer","Tân Bình, Vietnam","Full Time","Entry-level","Computer Science","Computer Vision","Consulting","Deep Learning","Economics","Engineering","Career development","Team events","","at least one internship experience","freshman or sophomores"
"Publicis Groupe","Intern, Data Science & Analytics","Miami, FL, United States","Internship","Entry-level","Data strategy","Data Studio","Excel","Power BI","Python","Research","Flex hours","Flex vacation","Insurance","no experience","freshman or sophomores"
"Bosch Group","Internship for BigData Analysis in the areas of Project Management and SW Development Metrics","Abstatt, Germany","Internship","Entry-level","Azure","Big Data","Computer Science","Data analysis","Engineering","Excel","Career development","Team events","","at least two internship experiences","seniors"
"Informa Group Plc.","Data Analytics Intern (Summer 2023)","Washington, DC, United States","Internship","Entry-level","Big Data","BigQuery","Computer Science","Data analysis","Data Analytics","Data Studio","Competitive pay","Startup environment","","no experience","seniors"
"Facilities Management Express","Customer Data Specialist Intern","Columbus, Ohio, United States - Remote","Internship","Entry-level","Airtable","APIs","Business Analytics","Business Intelligence","Data visualization","ETL","Career development","Competitive pay","Flex vacation","at least one internship experience","seniors"
"AppLovin","Project Manager Intern - SparkLabs","San Francisco Bay Area","Internship","Entry-level","Excel","Jira","Privacy","Testing","","","Career development","","","at least one internship experience","freshman or sophomores"
"Chemix, Inc.","Machine Learning Research Engineer Internship","Sunnyvale, California, United States","Internship","Entry-level","Chemistry","CI/CD","Git","Machine Learning","ML models","NumPy","401(k) matching","Career development","Equity","at least two internship experiences","freshman or sophomores"
"Lyft","Canada - Early Talent - Data Science Intern, Decisions-Product - Montreal, Canada (Summer 2023)","Montreal, Canada","Internship","Entry-level","A/B testing","Biology","Computer Science","Economics","Engineering","Mathematics","Health care","Startup environment","","no experience","juniors"
"EcoVadis","Data Management Intern (12 months Internship)","Ebène, Mauritius","Internship","Entry-level","Classification","Data management","Excel","Research","","","Career development","Flex hours","Health care","at least two internship experiences","juniors"
"Chemix, Inc.","Battery Data Science Intern","Sunnyvale, California, United States","Internship","Entry-level","Chemistry","CI/CD","Computer Science","Data pipelines","Engineering","Git","401(k) matching","Career development","Equity","no experience","juniors"
"Roofstock","Data Engineering Intern","Oakland, CA","Internship","Entry-level","Computer Science","Engineering","Python","RDBMS","Scala","SQL","Competitive pay","Startup environment","","at least one internship experience","seniors"
"SOMFY Group","Data Analyst (6 month internship) (M/F)","Cluses, France","Internship","Entry-level","Data management","Data quality","Industrial","R","R&D","Testing","Career development","","","at least two internship experiences","juniors"
"Verily","Data Science Intern, Registries and Real World Data","South San Francisco, CA","Internship","Entry-level","Biology","Computer Science","Data quality","Engineering","Machine Learning","Mathematics","Career development","Competitive pay","Equity","at least one internship experience","juniors"
"Bandwidth","Network Data Science Intern","Austin, TX","Internship","Entry-level","APIs","Privacy","","","","","Flex vacation","Health care","Unlimited paid time off","no experience","juniors"
"Deutsche Telekom IT Solutions","Data Science Trainee - REF1574S","Budapest, Debrecen, Szeged, Pécs, Hungary","Full Time","Entry-level","Agile","Computer Science","Jira","Kanban","Keras","Machine Learning","Team events","","","at least two internship experiences","freshman or sophomores"
"ALTEN","Stage - Ingénieur véhicule autonome","Sèvres, France","Full Time","Entry-level","Python","R","R&D","","","","Career development","","","no experience","freshman or sophomores"
"Verily","Data Science Intern, Computational Biology","South San Francisco, CA","Internship","Entry-level","Architecture","Biology","Computer Science","Data analysis","EDA","Engineering","Career development","Competitive pay","Health care","at least one internship experience","juniors"
"ServiceNow","Data Analytics Intern, Innovation Operations","Santa Clara, CALIFORNIA, United States","Internship","Entry-level","Computer Science","Data Analytics","Data visualization","Economics","Excel","Finance","401(k) matching","Competitive pay","Equity","at least two internship experiences","seniors"
"Bosch Group","2023 Co-op Student - Digital Automation -- Data Analyst (May- Nov)","Oakbrook Terrace, IL, United States","Full Time","Entry-level","Computer Science","Engineering","Excel","Industrial","KNIME","Mathematics","Team events","","","at least one internship experience","juniors"
"G2","Summer Intern: Data Science","Chicago","Internship","Entry-level","AWS","Data analysis","EDA","Machine Learning","ML infrastructure","NLP","Career development","Flex vacation","Parental leave","at least one internship experience","juniors"
"METRO/MAKRO","STAGE 6 mois - Data Scientist Junior H/F","Nanterre, France","Full Time","Entry-level","Big Data","Power BI","Python","R","SQL","","","","","at least one internship experience","juniors"
"Cloudflare, Inc.","Data Engineer - Intern (Summer 2023)","San Francisco or Austin","Internship","Entry-level","Angular","APIs","Architecture","Computer Science","Data Analytics","Engineering","","","","at least one internship experience","seniors"
"Back Market","Business Data Analyst Intern (APAC)","Paris","Internship","Entry-level","Consulting","Data visualization","KPIs","Python","SQL","Tableau","Flex hours","Health care","Insurance","at least one internship experience","freshman or sophomores"
"Voodoo","Junior Data Analyst (end-of-studies internship)","Paris","Internship","Entry-level","Consulting","Engineering","Excel","Machine Learning","Mathematics","SQL","Career development","Competitive pay","Lunch / meals","no experience","freshman or sophomores"
"Wavestone","Consultant.e.s – Stage/Alternance -  IT & Data Architecture","Nantes, France","Full Time","Entry-level","APIs","Architecture","AWS","Azure","Big Data","DevOps","","","","at least two internship experiences","juniors"
"Deezer","Product Data Analyst Intern m/f/d","Paris, France","Internship","Entry-level","Data analysis","Data pipelines","Data visualization","KPIs","Pipelines","Python","Career development","Health care","Insurance","no experience","seniors"
"Amazon.com","2023 Business Intelligence Engineer Internship","Milan, Lombardy, ITA","Full Time","Entry-level","AWS","Business Intelligence","Computer Science","Data Mining","Data pipelines","Data warehouse","Career development","Competitive pay","Flex hours","at least one internship experience","seniors"
"Syngenta Group","Data Scientist Trainee (m/w/d)","Frankfurt am Main, Germany","Full Time","Entry-level","AWS","Big Data","Data Mining","Deep Learning","Machine Learning","NoSQL","","","","at least two internship experiences","seniors"
"Publicis Groupe","Data Science & Analytics, Summer Intern","Springdale, AR, United States","Internship","Entry-level","Data visualization","Excel","Mathematics","Statistics","STEM","Tableau","Career development","Home office stipend","Insurance","at least two internship experiences","juniors"
"Wavestone","Business Intelligence & Data Visualization","Paris, France","Full Time","Entry-level","Agile","Business Intelligence","Data visualization","Machine Learning","Research","UX","","","","no experience","seniors"
"Moloco","Data Analyst Intern - Singapore","Singapore, Central Singapore, Singapore","Internship","Entry-level","Data analysis","GCP","Google Cloud","Machine Learning","ML models","Python","Career development","","","at least one internship experience","seniors"
"Funding Societies","Data Analyst Intern","Bangkok, Bangkok, Thailand - Remote","Internship","Entry-level","Business Intelligence","Data Analytics","Data visualization","Data warehouse","Finance","FinTech","Career development","Flex hours","Flex vacation","at least two internship experiences","juniors"
"Guardant Health","Machine Learning/Artificial Intelligence Intern","Palo Alto, CA, United States","Internship","Entry-level","Biology","Computer Science","HPC","Linux","Machine Learning","NLP","Career development","Equity","Health care","no experience","juniors"
"Merlin Labs","NLP Software Engineer, Intern","Boston","Internship","Entry-level","BERT","Computer Science","Data analysis","GitHub","GPT","Machine Learning","401(k) matching","Career development","Health care","at least one internship experience","freshman or sophomores"
"Snowflake Inc.","Data Engineer - Intern","Pune, India","Internship","Entry-level","Airflow","APIs","AWS","Azure","Computer Science","Data pipelines","","","","at least one internship experience","freshman or sophomores"
"Outrider","Perception Intern, Deep Learning Data","Brighton, Colorado","Internship","Entry-level","AWS","Deep Learning","Docker","Git","Lidar","Python","","","","no experience","seniors"
"Moloco","Data Analyst Intern - Korea","Gangnam-gu, Seoul, South Korea","Internship","Entry-level","Data analysis","GCP","Google Cloud","Machine Learning","ML models","Python","Career development","","","at least one internship experience","seniors"
"Bosch Group","[Intern] AI/ Computer Vision Engineer","Tân Bình, Vietnam","Full Time","Entry-level","Computer Science","Computer Vision","Consulting","Deep Learning","Economics","Engineering","Career development","Team events","","at least two internship experiences","freshman or sophomores"
"Bosch Group","Intern, AI research engineer","Singapore, Singapore","Internship","Entry-level","Computer Science","Computer Vision","Deep Learning","Engineering","Industrial","Machine Learning","Career development","","","at least one internship experience","freshman or sophomores"
"Western Digital","Phd -Interns, Data Scientist","Bengaluru, India","Full Time","Entry-level","Agile","Architecture","Classification","Data Mining","Data pipelines","Deep Learning","","","","no experience","seniors"
"Schrödinger","Computational Biology Intern","New York","Internship","Entry-level","Biology","Computer Science","Deep Learning","Drug discovery","Machine Learning","Python","401(k) matching","Career development","Competitive pay","at least one internship experience","seniors"
"Amazon.com","Amazon Robotics - Applied Scientist Intern/Co-op - 2023","Westborough, Massachusetts, USA","Full Time","Entry-level","Computer Science","Computer Vision","Engineering","Machine Learning","Mathematics","PhD","","","","no experience","juniors"
"Block","PhD Machine Learning Engineer Intern (Summer 2023)","San Francisco, CA, United States","Internship","Entry-level","Architecture","AWS","Banking","Blockchain","Computer Science","Crypto","Career development","Equity","Health care","no experience","seniors"
"Chime","Reporting and Data Infrastructure Intern","Remote, San Francisco","Internship","Entry-level","Banking","Computer Science","Data governance","FinTech","LookML","Privacy","401(k) matching","Career development","Competitive pay","at least two internship experiences","freshman or sophomores"
"Jump Trading","Campus | Data Engineer (Intern)","Singapore","Internship","Entry-level","Data Analytics","Economics","Engineering","Finance","Linux","MySQL","Career development","","","no experience","freshman or sophomores"
"Cloudflare, Inc.","Data Analyst Intern (Summer 2023)","Remote US","Internship","Entry-level","Big Data","BigQuery","Computer Science","Data Analytics","Engineering","Finance","Career development","Startup environment","","at least two internship experiences","seniors"
"Block","Data Science Intern (Summer 2023)","San Francisco, CA, United States","Internship","Entry-level","A/B testing","Airflow","Banking","BigQuery","Blockchain","Computer Science","Career development","Equity","Flex vacation","no experience","seniors"
"GoodRx","Data Engineer Internship","Santa Monica, CA","Internship","Entry-level","AWS","Data pipelines","DevOps","Engineering","ETL","Excel","Health care","","","at least one internship experience","seniors"
"Chime","Data Analytics Intern: Consumer Economics","San Francisco, CA","Internship","Entry-level","Banking","Data Analytics","Data visualization","Economics","FinTech","Privacy","401(k) matching","Career development","Competitive pay","at least two internship experiences","seniors"
"Guardant Health","Grad Intern: Bioinformatics/Assay Data Visualization and Analysis","Palo Alto, CA, United States","Full Time","Entry-level","Data Analytics","Data visualization","Engineering","Matplotlib","PhD","Plotly","Career development","Health care","Salary bonus","at least one internship experience","seniors"
"605","Data Operations Intern (Quality Assurance)","Syosset, New York, United States","Internship","Entry-level","Agile","Databricks","DataOps","Excel","Jira","PySpark","Startup environment","","","at least one internship experience","freshman or sophomores"
"Etsy","Data Science Intern","Brooklyn, NY, United States","Full Time","Entry-level","Causal inference","Computer Science","Economics","Machine Learning","PhD","Python","Equity","","","at least two internship experiences","juniors"
"CleverConnect","Data Engineer / Data Analyst - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Entry-level","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","Career development","Yoga","","at least one internship experience","seniors"
"ManoMano","[Internship] - Junior Data Scientist #2 (W/M)","Paris 75017","Internship","Entry-level","Agile","Biology","Computer Science","Data analysis","E-commerce","Economics","Career development","Conferences","Flex vacation","at least two internship experiences","seniors"
"ManoMano","[Internship] - Junior Data Scientist #1 (W/M)","Paris 75017","Internship","Entry-level","Agile","Biology","Computer Science","Data analysis","E-commerce","Economics","Career development","Conferences","Flex vacation","no experience","juniors"
"Western Digital","PhD Intern - Data Science","Bengaluru, India","Internship","Entry-level","Big Data","Computer Science","Data Analytics","Deep Learning","Engineering","Linear algebra","Career development","Medical leave","","at least one internship experience","freshman or sophomores"
"Bosch Group","Jr Data Engineer - Internship","Cernusco sul Naviglio, Italy","Full Time","Entry-level","Business Intelligence","Computer Science","Data analysis","Engineering","Industrial","Mathematics","Startup environment","","","no experience","freshman or sophomores"
"605","Engineering Intern (Data Engineering)","Syosset, New York, United States","Internship","Entry-level","Agile","Architecture","AWS","Azure","Big Data","Data visualization","Career development","Startup environment","","at least one internship experience","freshman or sophomores"
"Enterpret","[Internship] Machine Learning","Remote (India)","Internship","Entry-level","Deep Learning","Linear algebra","Machine Learning","NLP","NumPy","Pandas","Career development","","","at least one internship experience","juniors"
"Lightcast","Research Analyst Intern (Summer 2023 )","Remote (Work From Home) US","Internship","Entry-level","Consulting","Economics","Excel","Python","Research","SQL","Career development","Team events","","at least one internship experience","seniors"
"605","Data Operations Intern (Data Management)","Syosset, New York, United States","Internship","Entry-level","Agile","Databricks","Data management","DataOps","Data quality","Excel","Startup environment","","","at least two internship experiences","juniors"
"Chemix, Inc.","Machine Learning Research Engineer Internship","Sunnyvale, California, United States","Internship","Entry-level","Chemistry","CI/CD","Git","Machine Learning","ML models","NumPy","401(k) matching","Career development","Equity","no experience","freshman or sophomores"
"Fifty-Five","Data Scientist Intern","Paris, Île-de-France, France","Internship","Entry-level","Deep Learning","NumPy","Pandas","Python","R","R&D","Career development","","","at least one internship experience","juniors"
"Western Digital","Intern, Data Engineering - Digital Innovation (Summer 2023)","Milpitas, CA, United States","Full Time","Entry-level","Computer Science","Data analysis","Data pipelines","Data quality","EDA","Engineering","Medical leave","","","at least two internship experiences","freshman or sophomores"
"Zeta Global","Data Science & Analytics Intern","New York City, NY","Internship","Entry-level","Business Intelligence","Data pipelines","ETL","Machine Learning","MySQL","Pipelines","Lunch / meals","Team events","","at least two internship experiences","freshman or sophomores"
"Bosch Group","AI/ML Graduate Intern with Focus on AI Engineering (6 - 12 Months)","Mount Prospect, IL, United States","Internship","Entry-level","AWS","Azure","Computer Science","Engineering","GCP","Industrial","","","","at least two internship experiences","freshman or sophomores"
"takealot.com","Data Analytics Intern","Cape Town","Internship","Entry-level","Data Analytics","E-commerce","","","","","Career development","Competitive pay","Flex vacation","no experience","juniors"
"Recorded Future, Inc.","Data Science Intern","Boston, MA","Internship","Entry-level","Python","Security","","","","","Startup environment","","","at least one internship experience","seniors"
"Verisk","Data Analytics Intern (Pricing Analyst) - 2023  Summer Internship Program - CR","Kraków, Poland","Part Time","Entry-level","Business Intelligence","Data analysis","Data Analytics","Data management","Data quality","Data visualization","Career development","Equity","Insurance","at least two internship experiences","juniors"
"Unite Us","Internship: Data Analyst Intern","New York City","Internship","Entry-level","Computer Science","Data Analytics","Mathematics","Physics","SQL","Statistics","Startup environment","","","at least two internship experiences","freshman or sophomores"
"CleverConnect","Data Analyst - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Entry-level","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","Career development","Yoga","","at least one internship experience","juniors"
"Bosch Group","Internship Big Data for Fleet Validation","Stuttgart, Germany","Full Time","Entry-level","Agile","Azure","Big Data","Data analysis","Databricks","Engineering","Startup environment","","","at least two internship experiences","juniors"
"CleverConnect","Data Engineer - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Entry-level","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","Career development","Yoga","","no experience","seniors"
