ID,text
50,"Junior Statistics & Data Science  At least one internship experience Java, Python, SQL, C.C.. Data Scientist internship In person United States Ohio Tech Tableau, Power BI, GCP (Google Cloud Platform), Azure, SPSS, RapidMiner Data Visualization, Deep Learning, Predictive Analytics NumPy, Pandas, PyTorch, Tensorflow "
51,"Junior Statistics & Data Science Applied Psychology No internship experience Python, R, SQL Data Scientist internship Remote Germany  Tech Power BI, Hadoop, Apache Kafka, GCP (Google Cloud Platform), Azure, SPSS, D3.js, Alteryx, BigQuery Data Visualization, Deep Learning, Data Wrangling  "
52,"Junior Psychological & Brain Sciences, Statistics & Data Science  No internship experience Python, R, SQL, SAS Data Engineer internship Remote Germany  Tech Tableau, Power BI, Apache Kafka, Alteryx  NumPy "
53,"Junior Statistics & Data Science  No internship experience Java, Python, R, SQL, C.C.., SAS Data Scientist internship In person Canada  Finance Power BI, Spark, AWS (Amazon Web Services), GCP (Google Cloud Platform), BigQuery, Hive Deep Learning, Predictive Analytics NumPy, Pandas, Scikit.learn, PyTorch, Tensorflow "
54,"Junior Statistics & Data Science  At least one internship experience Python, R, SAS Data Scientist internship In person United States New York Tech Power BI, Databricks, SPSS, D3.js, RapidMiner, Alteryx, BigQuery   "
55,"Junior Statistics & Data Science  No internship experience Java, Python, R, SQL, C.C.. Data Analyst internship No preference United States Florida Retail Tableau, Azure, Databricks, SPSS, Jupyter Notebook, Alteryx, Snowflake Data Visualization, Data Wrangling NumPy, Pandas "
56,"Junior Mathematics/Applied Mathematics, Statistics & Data Science  No internship experience Python, R, SQL, SAS Data Scientist internship Remote United States Georgia Tech Airflow, SAS, Jupyter Notebook, D3.js, RapidMiner Data Visualization, Machine Learning, Deep Learning NumPy "
57,"Junior Statistics & Data Science  At least one internship experience Java, Python, SAS Data Analyst internship In person United States New York Tech Excel, Hadoop, AWS (Amazon Web Services), BigQuery Deep Learning, Natural Language Processing PyTorch, Tensorflow "
58,"Junior Statistics & Data Science  No internship experience Python, R, SQL, C.C.. Data Analyst internship In person United States Florida Tech Excel, AWS (Amazon Web Services), RapidMiner, Alteryx, BigQuery, Hive Predictive Analytics  "
59,"Junior Statistics & Data Science  No internship experience  Data Engineer internship In person United States California Tech Tableau, Hadoop, Airflow, Azure, Jupyter Notebook, RapidMiner, BigQuery, Hive Deep Learning, Data Wrangling  "
60,"Junior Financial Math & Statistics  No internship experience Python, SQL, SAS Data Analyst internship No preference United States New York Tech Tableau, SAS, BigQuery Machine Learning, Predictive Analytics NumPy, Pandas "
61,"Junior Mathematics/Applied Mathematics, Statistics & Data Science  At least one internship experience Python, SAS Data Engineer internship Remote Canada  Tech Tableau, Hadoop, Spark, Airflow, AWS (Amazon Web Services), Azure, Databricks, SAS, D3.js Data Wrangling  "
62,"Junior Statistics & Data Science  At least two internship experiences Java, Python, R, SQL, C.C.. Data Analyst internship Remote United States New York Healthcare Hadoop, Apache Kafka, Azure, SAS, D3.js, RapidMiner   "
63,"Junior Statistics & Data Science  No internship experience Python, C.C.. Data Scientist internship Remote United States Michigan Tech Tableau, Power BI, Apache Kafka, Jupyter Notebook, Alteryx, Hive Natural Language Processing, Predictive Analytics  "
64,"Junior Statistics & Data Science  No internship experience Java, Python, R, SQL, C.C.. Data Engineer internship Remote Germany  Tech Tableau, Airflow, GCP (Google Cloud Platform), Jupyter Notebook, BigQuery, Hive, Snowflake Machine Learning, Natural Language Processing  "
65,"Junior Statistics & Data Science  No internship experience Java, Python, R, SQL, C.C.., SAS Data Scientist internship No preference United States Michigan Tech Excel, Hadoop, AWS (Amazon Web Services), GCP (Google Cloud Platform), D3.js Data Wrangling NumPy, Pandas, SciPy, Scikit.learn, PyTorch, Tensorflow "
66,"Junior Statistics & Data Science Mathematics No internship experience Python, R, SQL, SAS Data Analyst internship Remote United States Georgia Tech Tableau, Spark, AWS (Amazon Web Services), RapidMiner, BigQuery  NumPy, Pandas, Scikit.learn "
67,"Junior Statistics & Data Science  No internship experience Java, R Data Analyst internship In person United States Ohio Tech Hadoop, Spark, Apache Kafka, AWS (Amazon Web Services), D3.js, BigQuery, Hive Machine Learning  "
68,"Junior Statistics & Data Science  At least one internship experience Python, R, SQL, SAS Data Analyst internship In person United States Pennsylvania Tech Power BI, Hadoop, Databricks, SPSS Data Visualization, Natural Language Processing, Data Wrangling NumPy, SciPy "
69,"Junior Computer Science/Computer Engineering  Advanced internship experience Java, Python, C.C.., SAS Data Analyst internship In person Germany  Tech Apache Kafka, GCP (Google Cloud Platform), Databricks, SPSS, D3.js, BigQuery Machine Learning, Natural Language Processing NumPy, Pandas, SciPy "
70,"Junior Statistics & Data Science  No internship experience Java, C.C.., SAS Data Scientist internship No preference United States Michigan Tech Power BI, SAS, D3.js, Snowflake Data Visualization, Machine Learning, Data Wrangling  "
71,"Junior Statistics & Data Science  At least one internship experience Java, C.C.. Data Engineer internship Remote United States New York Tech Tableau, Airflow, SAS, Jupyter Notebook, Snowflake Machine Learning, Deep Learning, Natural Language Processing, Predictive Analytics  "
72,"Junior Statistics & Data Science  No internship experience Python, R, SQL, C.C.., SAS Data Analyst internship No preference United States New York Tech Hadoop, Apache Kafka, AWS (Amazon Web Services), GCP (Google Cloud Platform), SPSS, D3.js, Alteryx Deep Learning, Data Wrangling  "
73,"Junior Economics/Economics & Accounting, Statistics & Data Science  No internship experience Java, Python, R, SQL Data Analyst internship Remote United States Florida Tech Hive Data Visualization, Deep Learning NumPy, Pandas, SciPy, Scikit.learn, PyTorch, Tensorflow "
74,"Junior Physics  No internship experience Python, C.C.. Data Scientist internship In person United States Ohio Healthcare Apache Kafka, Airflow, GCP (Google Cloud Platform), SAS, SPSS, D3.js, RapidMiner, BigQuery, Hive Data Visualization, Machine Learning, Predictive Analytics  "
75,"Junior Statistics & Data Science Earth Science No internship experience R, SQL, C.C.., SAS Data Analyst internship Remote United States North Carolina Tech Hadoop, Spark, Jupyter Notebook, D3.js Machine Learning, Natural Language Processing  "
76,"Junior Statistics & Data Science  At least one internship experience Java, Python, R, SQL, C.C.. Data Scientist internship In person United States Michigan Tech Apache Kafka, Airflow, AWS (Amazon Web Services), SAS, SPSS, D3.js, Hive Machine Learning, Deep Learning, Natural Language Processing NumPy, Pandas, SciPy, Scikit.learn, PyTorch "
77,"Junior Statistics & Data Science  No internship experience Python, R, SQL, SAS Data Engineer internship In person United States Michigan Tech Tableau, Spark, RapidMiner, Snowflake Deep Learning NumPy, Pandas, Scikit.learn "
78,"Junior Statistics & Data Science  At least two internship experiences Python, R, SQL, SAS Data Engineer internship No preference United States Texas Tech Power BI, Hadoop, AWS (Amazon Web Services), SPSS, Jupyter Notebook, D3.js, Alteryx, Hive Machine Learning NumPy, Pandas, PyTorch "
79,"Junior Statistics & Data Science  At least one internship experience Python, R, SQL, SAS Data Analyst internship Remote United States Texas Tech Power BI, Excel, SAS, RapidMiner, Alteryx Machine Learning, Deep Learning, Natural Language Processing, Data Wrangling  "
80,"Junior Mathematics/Applied Mathematics, Statistics & Data Science  No internship experience Java, Python, R, SQL, SAS Data Analyst internship Remote Germany  Tech Power BI, Spark, Apache Kafka, GCP (Google Cloud Platform), Azure Data Wrangling NumPy "
81,"Junior Statistics & Data Science  No internship experience Python, R, SQL Data Scientist internship Remote United States Illinois Tech Power BI, Excel, Apache Kafka, Airflow, AWS (Amazon Web Services), Azure, Databricks, Jupyter Notebook, RapidMiner, BigQuery, Snowflake Predictive Analytics, Data Wrangling  "
82,"Junior Statistics & Data Science  No internship experience Java, C.C.. Data Engineer internship Remote United States Georgia Retail Tableau, Hadoop, Databricks, Alteryx Data Wrangling  "
83,"Junior Statistics & Data Science No No internship experience Python, R, SAS Data Analyst internship Remote United States Pennsylvania Healthcare Databricks, BigQuery Data Wrangling PyTorch "
84,"Junior Statistics & Data Science  No internship experience Java, Python, R, C.C.. Data Engineer internship Remote Germany  Tech Hadoop, Apache Kafka, SPSS, BigQuery, Snowflake Data Visualization, Natural Language Processing, Predictive Analytics NumPy, Pandas "
85,"Junior Statistics & Data Science  No internship experience R, C.C.. Data Scientist internship In person United States Texas Tech Hadoop, Airflow, Databricks, Jupyter Notebook, D3.js, Alteryx, BigQuery, Hive Machine Learning, Natural Language Processing  "
86,"Junior Statistics & Data Science Earth Science  At least two internship experiences Java, Python, R, SQL, C.C.. Data Analyst internship In person United States Florida Tech Apache Kafka, GCP (Google Cloud Platform), Azure, Jupyter Notebook, BigQuery, Hive, Snowflake Data Visualization, Deep Learning NumPy, Pandas "
87,"Junior Statistics & Data Science  No internship experience Java, Python, R, SQL, C.C.. Data Analyst internship No preference United States New York Tech Tableau, Azure, Databricks, SPSS, D3.js, RapidMiner, Snowflake Predictive Analytics Pandas "
88,"Junior Statistics & Data Science  At least two internship experiences Python, SQL, SAS Data Engineer internship Remote Canada  Manufacturing Power BI, Excel, Hadoop, AWS (Amazon Web Services), SPSS, Jupyter Notebook Data Visualization, Machine Learning, Deep Learning, Data Wrangling NumPy, Pandas "
89,"Junior Statistics & Data Science Psychology and Brain Sciences  No internship experience Python Data Scientist internship In person United States New York Tech Power BI, SAS, SPSS Deep Learning, Data Wrangling NumPy, Pandas "
90,"Junior Statistics & Data Science  No internship experience Java, Python, R, SQL, C.C.., SAS Data Scientist internship Remote United States Michigan Tech Tableau, Airflow, Azure, SPSS Machine Learning, Deep Learning, Data Wrangling NumPy, Pandas "
91,"Junior Statistics & Data Science  At least one internship experience Python, R Data Analyst internship Remote United States Florida Tech Hadoop, Azure, BigQuery Data Visualization, Natural Language Processing, Predictive Analytics, Data Wrangling  "
92,"Junior Statistics & Data Science  At least two internship experiences Python, SAS Data Analyst internship No preference Australia  Tech SAS, D3.js, Alteryx Machine Learning, Deep Learning, Predictive Analytics NumPy, Pandas, Scikit.learn "
93,"Junior Statistics & Data Science Applied Psychology No internship experience Python, R, SQL, C.C.., SAS Data Engineer internship In person Germany  Tech Spark, GCP (Google Cloud Platform), Databricks, D3.js Machine Learning NumPy "
94,"Junior Statistics & Data Science  No internship experience R, C.C.. Data Engineer internship Remote United States Ohio Education Tableau, Power BI, Hadoop, Airflow, AWS (Amazon Web Services), GCP (Google Cloud Platform), Azure, Databricks, SPSS, RapidMiner Deep Learning  "
95,"Sophomore Computer Science/Computer Engineering  No internship experience Java, Python, SQL, C.C.., SAS Data Scientist internship In person United States Ohio Tech Tableau, Power BI, Airflow, AWS (Amazon Web Services), SAS, RapidMiner Data Visualization, Deep Learning, Predictive Analytics Pandas "
96,"Sophomore Statistics & Data Science  No internship experience Python, C.C.. Data Analyst internship Remote United States Georgia Tech Airflow  NumPy, Pandas, SciPy, Scikit.learn "
97,"Sophomore Computer Science/Computer Engineering  At least two internship experiences Java, Python, C.C.., SAS Data Engineer internship Remote United States California Tech Power BI, Excel, Hadoop, Airflow, RapidMiner, Hive, Snowflake Machine Learning Pandas, Scikit.learn, PyTorch "
98,"Sophomore Statistics & Data Science  At least one internship experience Python, R, SQL, SAS Data Scientist internship In person United States New York Tech Airflow, Azure, SPSS, Alteryx, BigQuery Machine Learning, Deep Learning Pandas "
99,"Sophomore Financial Math & Statistics  At least one internship experience Java, Python, R, SQL Data Analyst internship In person Canada  Tech Spark, Airflow, Databricks, SPSS, Jupyter Notebook, BigQuery Data Visualization, Machine Learning, Deep Learning, Data Wrangling  "
100,"Sophomore Statistics & Data Science  No internship experience Python, R, SQL, C.C.., SAS Data Scientist internship No preference United States Texas Tech Power BI, Excel, AWS (Amazon Web Services), D3.js, Alteryx, Snowflake Deep Learning, Natural Language Processing, Data Wrangling NumPy, Pandas, PyTorch, Tensorflow "
101,"Sophomore Statistics & Data Science Linguistics, Speech and Language Technologies emphasis (intended) At least one internship experience Python, R, SQL Data Analyst internship In person United States Ohio Manufacturing Azure, Databricks, BigQuery Deep Learning, Predictive Analytics NumPy, Pandas, Scikit.learn "
102,"Sophomore Statistics & Data Science  No internship experience Java, Python, R, SQL, C.C.., SAS Data Engineer internship Remote United States California Tech Hadoop, Spark, Jupyter Notebook, Alteryx, BigQuery, Hive Machine Learning, Natural Language Processing NumPy, Pandas "
103,"Sophomore Statistics & Data Science  No internship experience Java, Python, R, SQL Data Engineer internship Remote United States North Carolina Tech Tableau, Excel, Databricks, SAS, D3.js Data Visualization  "
104,"Sophomore Statistics & Data Science  At least one internship experience Python, R, SQL Data Engineer internship Remote Germany  Tech Tableau, Apache Kafka, GCP (Google Cloud Platform), D3.js, Alteryx Data Visualization  "
105,"Sophomore Statistics & Data Science  No internship experience Java, Python, R, SQL, C.C.., SAS Data Analyst internship In person United Kingdom  Manufacturing Excel, Spark, Apache Kafka, GCP (Google Cloud Platform), SPSS, D3.js, Alteryx, BigQuery, Snowflake Machine Learning NumPy, Pandas, PyTorch, Tensorflow "
106,"Sophomore Statistics & Data Science Music No internship experience Java, Python, SAS Data Analyst internship Remote United States North Carolina Tech Excel, GCP (Google Cloud Platform), Databricks, Alteryx, Hive, Snowflake Machine Learning, Predictive Analytics NumPy "
107,"Sophomore Mathematics/Applied Mathematics, Statistics & Data Science  At least one internship experience Java, Python, R, C.C.. Data Engineer internship In person United Kingdom  Tech Tableau, Power BI, AWS (Amazon Web Services), GCP (Google Cloud Platform), Databricks, SPSS, D3.js, Alteryx, BigQuery, Snowflake Data Visualization, Natural Language Processing NumPy, Pandas, Tensorflow "
108,"Sophomore Economics/Economics & Accounting  At least one internship experience Python, R Data Analyst internship No preference Australia  Tech Excel, Spark, GCP (Google Cloud Platform), Snowflake Data Visualization, Deep Learning NumPy, Pandas "
109,"Sophomore Statistics & Data Science  No internship experience Java, Python, R, SQL, SAS Data Engineer internship In person United States North Carolina Tech Power BI, Spark, Apache Kafka, Airflow, AWS (Amazon Web Services), Jupyter Notebook, BigQuery, Snowflake Data Visualization  "
110,"Sophomore Financial Math & Statistics, Biopsychology  At least two internship experiences Java, Python, SAS Data Analyst internship Remote United States Illinois Tech Power BI, Apache Kafka, AWS (Amazon Web Services), SAS, SPSS, D3.js, RapidMiner Natural Language Processing PyTorch "
111,"Sophomore Statistics & Data Science  No internship experience Java, Python, R, SQL, SAS Data Engineer internship No preference United States Texas Finance Hadoop, Spark, Azure, Databricks, RapidMiner Machine Learning, Natural Language Processing, Data Wrangling Pandas "
112,"Sophomore Statistics & Data Science  No internship experience Python, SAS Data Scientist internship In person United States North Carolina Tech Spark, Apache Kafka, D3.js, RapidMiner, Hive Natural Language Processing, Data Wrangling  "
113,"Sophomore Statistics & Data Science  At least one internship experience Python, R, SAS Data Engineer internship In person United States New York Tech D3.js, Alteryx Machine Learning, Deep Learning  "
114,"Sophomore Economics/Economics & Accounting, Statistics & Data Science  At least two internship experiences Python, R Data Scientist internship No preference Germany  Education Excel, Apache Kafka, Azure, Databricks, D3.js, RapidMiner, BigQuery Natural Language Processing NumPy, Pandas "
115,"Sophomore Statistics & Data Science  No internship experience Python, R, SQL, SAS Data Analyst internship Remote United States New York Education Power BI, Apache Kafka, Databricks, SPSS, Alteryx, Snowflake Predictive Analytics NumPy, Pandas "
116,"Sophomore Statistics & Data Science  No internship experience Java, Python, R, SQL, C.C.. Data Analyst internship No preference Canada  Finance Power BI, RapidMiner  Pandas, Scikit.learn, PyTorch, Tensorflow "
117,"Sophomore Statistics & Data Science  No internship experience C.C.. Data Analyst internship Remote Australia  Tech Tableau, Power BI, AWS (Amazon Web Services), RapidMiner Data Visualization, Natural Language Processing  "
118,"Sophomore Statistics & Data Science  No internship experience Python, R, SQL, SAS Data Engineer internship No preference United States Texas Manufacturing Hadoop, Apache Kafka, SAS, Jupyter Notebook, BigQuery, Snowflake Data Visualization, Predictive Analytics, Data Wrangling  "
119,"Sophomore Statistics & Data Science None as of now No internship experience Python, R, SQL, SAS Data Analyst internship No preference United States Texas Tech Tableau, Excel, Hadoop, GCP (Google Cloud Platform), SPSS, Jupyter Notebook, D3.js, RapidMiner, BigQuery, Snowflake Predictive Analytics  "
120,"Sophomore Statistics & Data Science  No internship experience Python, SAS Data Scientist internship In person United States New York Tech Excel, Hadoop, Spark, SAS, SPSS, RapidMiner Data Visualization, Deep Learning, Predictive Analytics  "
121,"Sophomore Statistics & Data Science, Geography  Japanese No internship experience Python, R, SAS Data Engineer internship No preference United States New York Tech Tableau, Apache Kafka, AWS (Amazon Web Services), GCP (Google Cloud Platform), SPSS, D3.js, BigQuery Natural Language Processing, Predictive Analytics, Data Wrangling  "
