"gender","grad_year","transfer","major","minor","returning_member","intern_job_count","Java","Python","R","SQL","C.C..","JavaScript.TypeScript","Languages","NumPy","Pandas","SciPy","Scikit.learn","PyTorch","Tensorflow","Math.4A","CS.9","Calculus.Math.3A.Math.3B.AP.Calc","Math.6A","Math.8.PSTAT.8.CS.40","PSTAT.10","PSTAT.120A","PSTAT.120B","PSTAT.126","PSTAT.160A.160B","Math.117","PSTAT.131","Math.108A","CS.165A.165B","PSTAT.135","Career.fair","Professional.workshops","Technical.workshops","Company.talks...Data.talks","Social.events","Project.groups","Events","Career.Goal","Tableau","Power.BI","Matplotlib","SAS","Looking_for_internship","Looking_for_full_time","internship_or_full_time","Prefer.Remote","Top.desired.location","Top.desired.state","Industry.Preferences","Number.of.completed.data.science.projects","Data_Science_Technologies","research_job_count","Data.Science.Skills","Merged_Languages","Courses","Packages","ID"
"Male",2025,"No","Statistics & Data Science","","Yes",0,"No","Yes","Yes","No","No","No","Python, R","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","No","No","Yes","Yes","No","Yes","full time","Remote","United States","Georgia","Education",7,"Apache Kafka, AWS (Amazon Web Services), GCP (Google Cloud Platform), Azure, BigQuery",3,"","Python, R, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, Math.117, PSTAT.131","NumPy, Pandas",16
"Male",2025,"Yes","Statistics & Data Science","","No",2,"No","No","Yes","No","No","No","R","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","Yes","No","No","No","Yes","Career.fair, Professional.workshops, Project.groups","Data Engineer","Yes","No","Yes","No","No","Yes","full time","In person","United States","Georgia","Tech",2,"Excel, Spark, Apache Kafka, Airflow, SAS, D3.js, BigQuery",1,"Predictive Analytics, Data Wrangling","R","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, Math.117","",17
"Female",2025,"No","Statistics & Data Science","","No",2,"Yes","Yes","Yes","No","No","No","Java, Python, R","Yes","Yes","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","No","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks","Data Analyst","No","Yes","Yes","No","No","Yes","full time","No preference","Australia","","Tech",3,"Hadoop, Airflow, Hive",0,"Deep Learning","Java, Python, R","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, PSTAT.131","NumPy, Pandas, Scikit.learn",18
"Female",2025,"No","Economics/Economics & Accounting, Financial Math & Statistics","","No",0,"No","Yes","Yes","Yes","No","No","Python, R, SQL","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","No","Yes","No","Yes","Career.fair, Professional.workshops, Company.talks...Data.talks, Project.groups","Data Engineer","No","No","No","No","No","Yes","full time","No preference","United States","New York","Tech",2,"Tableau, Excel, Apache Kafka, AWS (Amazon Web Services), Azure, Databricks, BigQuery, Snowflake",3,"Deep Learning, Natural Language Processing, Predictive Analytics","Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, Math.117, PSTAT.131","NumPy, SciPy",19
"Male",2025,"No","Mathematics/Applied Mathematics, Statistics & Data Science","","Yes",0,"Yes","Yes","Yes","No","No","No","Java, Python, R","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","Yes","Yes","No","Yes","No","Yes","full time","Remote","United States","Pennsylvania","Tech",5,"Airflow, AWS (Amazon Web Services), Databricks, SAS, Jupyter Notebook, D3.js, Alteryx, Snowflake",4,"Natural Language Processing, Predictive Analytics","Java, Python, R, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, Math.117, PSTAT.131, Math.108A","NumPy, Pandas, SciPy",20
"Male",2025,"Yes","Statistics & Data Science","","No",0,"No","Yes","Yes","Yes","Yes","No","Python, R, SQL, C.C..","Yes","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","No","No","Yes","No","No","Yes","full time","Remote","United States","North Carolina","Finance",0,"Hadoop, GCP (Google Cloud Platform), Azure, RapidMiner, Hive",0,"Data Visualization, Deep Learning","Python, R, SQL, C.C..","CS.9, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, Math.117","NumPy, Tensorflow",21
"Male",2025,"No","Statistics & Data Science","","Yes",1,"No","No","Yes","Yes","No","No","R, SQL","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","Yes","Yes","Yes","No","No","Yes","full time","Remote","United States","New York","Tech",3,"Power BI, Hadoop, GCP (Google Cloud Platform), Databricks, SAS, Jupyter Notebook, D3.js, RapidMiner, BigQuery",3,"Deep Learning","R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.126, PSTAT.160A.160B, PSTAT.131","",22
"Female",2025,"No","Psychological & Brain Sciences, Statistics & Data Science","","No",0,"No","Yes","Yes","Yes","No","No","Python, R, SQL","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Analyst","Yes","No","Yes","No","No","Yes","full time","Remote","United States","Georgia","Tech",5,"Databricks, Jupyter Notebook, RapidMiner, Alteryx",3,"Machine Learning, Deep Learning, Data Wrangling","Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, Math.117, PSTAT.131, Math.108A","Pandas",23
"Female",2025,"No","Statistics & Data Science","","No",0,"Yes","Yes","Yes","No","No","No","Java, Python, R","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No","Yes","Professional.workshops, Technical.workshops, Project.groups","Data Scientist","No","No","Yes","Yes","No","Yes","full time","In person","Australia","","Tech",7,"Spark, Apache Kafka, Jupyter Notebook, D3.js, RapidMiner",3,"Data Visualization, Machine Learning","Java, Python, R, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B","",24
"Female",2025,"No","Computer Science/Computer Engineering, Statistics & Data Science","","Yes",2,"Yes","Yes","Yes","Yes","Yes","Yes","Java, Python, R, SQL, C.C..","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Career.fair, Project.groups","Data Scientist","Yes","No","Yes","Yes","No","Yes","full time","In person","United States","Pennsylvania","Tech",5,"Hadoop, Apache Kafka, Airflow, SAS, Jupyter Notebook",4,"","Java, Python, R, SQL, C.C.., SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, PSTAT.131, Math.108A","NumPy, Pandas",25
"Male",2025,"No","Statistics & Data Science","","No",0,"No","Yes","Yes","Yes","No","No","Python, R, SQL","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Project.groups","Data Scientist","Yes","Yes","No","No","No","Yes","full time","In person","United Kingdom","","Tech",7,"Hadoop, Apache Kafka, AWS (Amazon Web Services), GCP (Google Cloud Platform), SAS, Jupyter Notebook, RapidMiner, Alteryx, Hive",0,"Machine Learning, Deep Learning, Predictive Analytics","Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.160A.160B, PSTAT.131","NumPy, Pandas",26
"Male",2025,"No","Computer Science/Computer Engineering","","Yes",0,"Yes","Yes","No","No","Yes","Yes","Java, Python, C.C..","Yes","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","No","Yes","Yes","No","Yes","Yes","Yes","Career.fair, Professional.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","No","Yes","No","Yes","No","Yes","full time","In person","United States","Michigan","Tech",1,"Hadoop, Airflow, Jupyter Notebook, BigQuery",4,"Machine Learning, Natural Language Processing","Java, Python, C.C.., SAS","Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.120A, CS.165A.165B","NumPy, Pandas, SciPy",27
"Female",2025,"Yes","Statistics & Data Science","Applied Psychology","No",1,"No","Yes","Yes","No","No","No","Python, R","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Project.groups","Data Engineer","No","Yes","Yes","No","No","Yes","full time","In person","Canada","","Tech",3,"Hadoop, Spark, GCP (Google Cloud Platform), SAS, SPSS, Jupyter Notebook, D3.js, RapidMiner, BigQuery, Hive",4,"","Python, R","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126, PSTAT.131, CS.165A.165B","NumPy, Pandas",28
"Male",2026,"Yes","Mathematics/Applied Mathematics","","No",0,"No","No","No","No","Yes","No","C.C..","No","No","No","No","No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Engineer","No","No","No","No","Yes","No","internship","In person","Canada","","Tech",4,"Airflow, BigQuery, Snowflake",1,"Natural Language Processing, Data Wrangling","C.C..","Calculus.Math.3A.Math.3B.AP.Calc, Math.8.PSTAT.8.CS.40, CS.165A.165B","",29
"Male",2026,"No","Mathematics/Applied Mathematics","","No",1,"No","Yes","Yes","No","No","No","Python, R","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","No","Yes","Yes","No","No","Yes","Professional.workshops, Technical.workshops, Project.groups","Data Analyst","No","No","Yes","Yes","Yes","No","internship","In person","United Kingdom","","Education",0,"Power BI, Spark, Jupyter Notebook, D3.js, BigQuery, Snowflake",2,"Data Visualization","Python, R, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, Math.117, Math.108A","",30
"Male",2026,"No","Economics/Economics & Accounting, Statistics & Data Science","","No",0,"No","Yes","Yes","No","No","No","Python, R","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Yes","Yes","No","No","No","Yes","Career.fair, Professional.workshops, Project.groups","Data Engineer","Yes","Yes","Yes","No","Yes","No","internship","In person","United States","North Carolina","Tech",1,"Power BI, Hadoop, Apache Kafka, Airflow, AWS (Amazon Web Services), GCP (Google Cloud Platform)",0,"Data Visualization, Data Wrangling","Python, R","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B","",31
"Female",2026,"No","Statistics & Data Science","","No",1,"No","Yes","Yes","Yes","No","No","Python, R, SQL","No","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No","No","Yes","Yes","Yes","No","No","No","Career.fair, Professional.workshops, Technical.workshops","Data Analyst","No","Yes","Yes","Yes","Yes","No","internship","In person","United States","Michigan","Tech",3,"Tableau, Hadoop, Airflow, Azure, SAS, Alteryx, BigQuery",3,"Predictive Analytics","Python, R, SQL, SAS","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.120A, Math.117, Math.108A","Pandas",32
"Male",2026,"No","Economics/Economics & Accounting, Statistics & Data Science","","No",3,"No","Yes","Yes","Yes","No","No","Python, R, SQL","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Career.fair, Professional.workshops, Technical.workshops, Company.talks...Data.talks, Social.events, Project.groups","Data Scientist","Yes","Yes","Yes","No","Yes","No","internship","Remote","United States","New York","Tech",1,"Tableau, Power BI, Airflow, GCP (Google Cloud Platform), SPSS, Alteryx, BigQuery, Hive, Snowflake",0,"Data Visualization, Natural Language Processing","Python, R, SQL","CS.9, Calculus.Math.3A.Math.3B.AP.Calc, Math.6A, Math.8.PSTAT.8.CS.40, PSTAT.10, PSTAT.120A, PSTAT.120B, PSTAT.126","NumPy, Pandas",33
