"Company","Job.Title","Location","Job.Type","Skill.1","Skill.2","Skill.3","Skill.4","Skill.5","Skill.6","ExperienceQualifications","ClassYearQualifications"
"Cloudflare, Inc.","Data Engineering Internship","Lisbon, Portugal","Internship","Angular","APIs","Architecture","Computer Science","Data Analytics","Engineering","no experience","juniors"
"Bosch Group","[Intern] AI/ Computer Vision Engineer","Tân Bình, Vietnam","Full Time","Computer Science","Computer Vision","Consulting","Deep Learning","Economics","Engineering","at least two internship experiences","seniors"
"RYTE Corporation","R&D Data Scientist Intern (Alternance)","Paris, Île-de-France, France","Internship","Big Data","Computer Science","Deep Learning","Engineering","Keras","Python","at least one internship experience","seniors"
"Amazon.com","Software Development Engineer Intern (Summer 2023) - Machine Learning Apps, Acceleration, Annapurna Labs","Austin, Texas, USA","Full Time","AWS","Computer Science","Deep Learning","Distributed Systems","EC2","Engineering","at least one internship experience","juniors"
"RYTE Corporation","Data Scientist (NLP & ML) Intern (Alternance)","Paris, Île-de-France, France","Internship","Azure","Big Data","C++","Computer Science","Deep Learning","Docker","at least two internship experiences","seniors"
"Sia Partners","Stage de fin d'études - Consultant(e) Data Management","Paris, France","Full Time","APIs","Architecture","AWS","Azure","Big Data","Business Intelligence","at least one internship experience","seniors"
"RYTE Corporation","MLOps Engineer Intern (Alternance)","Paris, Île-de-France, France","Internship","Azure","Big Data","CI/CD","Computer Science","Databricks","Deep Learning","no experience","freshman or sophomores"
"SOMFY Group","Alternance Data Analyst (H/F)","Cluses, France","Full Time","Data analysis","Excel","Power BI","Python","R","R&D","at least one internship experience","seniors"
"EcoVadis","Data Management Intern (12 months Internship)","Ebène, Mauritius","Internship","Classification","Data management","Excel","Research","","","at least two internship experiences","seniors"
"OpenX","Intern, ML Ops","New York City","Internship","AWS","Azure","Computer Science","Docker","GCP","Google Cloud","at least one internship experience","juniors"
"Bosch Group","Website & Data analyses - Internship EU student","Breda, Netherlands","Full Time","E-commerce","Research","Testing","","","","at least one internship experience","seniors"
"HeadLight Technologies Inc.","Computer Vision Intern","Seattle, Washington, United States - Remote","Internship","Computer Vision","Consulting","Engineering","Machine Learning","","","no experience","seniors"
"Trust Lab","Data Science Intern | Social Media Analysis | US, Canada, UK, Germany","Anywhere","Internship","AWS","Data analysis","Data visualization","Engineering","Machine intelligence","Machine Learning","at least two internship experiences","juniors"
"TuneIn","Data Science Intern","San Francisco, CA","Internship","Computer Science","Data Mining","Deep Learning","Engineering","Excel","KPIs","at least one internship experience","juniors"
"Deep6.ai","Machine Learning Engineer, Comprehension Intern","Remote or Pasadena, CA","Internship","Computer Science","ETL","Machine Learning","Mathematics","NLP","OOP","no experience","juniors"
"Deep6.ai","Data Analyst, Search Intern","Remote or Pasadena, CA","Internship","Business Analytics","Computer Science","Machine Learning","Mathematics","NLP","Python","at least one internship experience","juniors"
"Motional","Summer 2023: Machine Learning Intern","Pittsburgh, Pennsylvania, United States","Internship","Architecture","Autonomous Driving","Computer Science","Data Mining","Distributed Systems","Machine Learning","at least two internship experiences","seniors"
"Kinaxis","Co-Op/Intern Software Engineer, AI Platform","Toronto, Canada; Remote, Canada","Internship","Big Data","Bitbucket","DevOps","Engineering","GitHub","Industrial","no experience","juniors"
"Deutsche Telekom IT Solutions","Data Science Trainee - REF1574S","Budapest, Debrecen, Szeged, Pécs, Hungary","Full Time","Agile","Computer Science","Jira","Kanban","Keras","Machine Learning","at least two internship experiences","juniors"
"SOMFY Group","Data Analyst (6 month internship) (M/F)","Cluses, France","Internship","Data management","Data quality","R","R&D","Testing","","at least two internship experiences","juniors"
"Visa","Intern, Associate Data Analyst","Austin, TX, United States","Internship","Computer Science","Data Analytics","Data visualization","Engineering","Excel","SQL","at least two internship experiences","juniors"
"Charles River Analytics Inc.","Natural Language Processing Intern","Cambridge, MA","Internship","Computer Science","LLMs","Machine Learning","NLP","OOP","Prototyping","at least two internship experiences","seniors"
"Spendesk","Data Scientist Intern","Paris","Internship","Classification","Computer Science","Data visualization","Deep Learning","Finance","Linear algebra","at least two internship experiences","juniors"
"Amazon.com","Amazon Robotics - Applied Scientist Intern - 2023","Westborough, Massachusetts, USA","Full Time","Computer Science","Computer Vision","Engineering","Machine Learning","Mathematics","PhD","at least two internship experiences","seniors"
"DataCamp, Inc.","Machine Learning Content Development Intern","United Kingdom or Belgium","Internship","Engineering","GitHub","Machine Learning","MLFlow","Python","Teaching","at least one internship experience","freshman or sophomores"
"Visium","Junior Machine Learning Engineer - Zürich (internship)","Zürich, Zurich, Switzerland","Internship","Classification","Clustering","Computer Science","D3","Deep Learning","Engineering","no experience","freshman or sophomores"
"OpenX","Data Scientist - Intern","Los Angeles, CA","Internship","Architecture","AWS","Big Data","Computer Science","Data analysis","GCP","no experience","seniors"
"Blueground","Data Analysis Intern - Istanbul","İstanbul, İstanbul, Turkey","Internship","Business Intelligence","Data analysis","Data Analytics","Data quality","Engineering","Excel","no experience","freshman or sophomores"
"Visium","Junior Machine Learning Engineer - Lausanne (internship)","Lausanne, Vaud, Switzerland","Internship","Classification","Clustering","Computer Science","D3","Deep Learning","Engineering","at least two internship experiences","juniors"
"Steel Perlot","Sports Data Science Intern","Los Angeles, California, San Francisco, California, New …","Internship","Bayesian","CI/CD","Computer Science","Data analysis","Data management","Engineering","at least two internship experiences","juniors"
"Scandit","Computer Vision / Machine Learning Intern","Zürich","Internship","C++","Computer Science","Computer Vision","Machine Learning","ML models","NLP","no experience","juniors"
"CGG","Machine Learning Engineer 2023 Internship Programme (6 months)","Crawley, United Kingdom","Internship","C++","Computer Science","Deep Learning","HPC","Machine Learning","Mathematics","at least two internship experiences","freshman or sophomores"
"Publicis Groupe","Junior Data Analyst - Extra Curricular Internship","Torino, Italy","Full Time","Big Data","Computer Science","Consulting","Data analysis","Data Mining","Data quality","at least one internship experience","juniors"
"Bosch Group","Intern for AI Machine Learning - AquaEasy","Singapore, Singapore","Full Time","Data analysis","Data visualization","Machine Learning","Python","R","R&D","at least one internship experience","juniors"
"Censys","2023 Software Engineering Internship - Data Engineer","Ann Arbor, Michigan, United States","Internship","ANN","Engineering","Golang","Helm","Python","Research","at least two internship experiences","seniors"
"Bosch Group","[Intern] AI/ Computer Vision Engineer","Tân Bình, Vietnam","Full Time","Computer Science","Computer Vision","Consulting","Deep Learning","Economics","Engineering","at least two internship experiences","juniors"
"Publicis Groupe","Intern, Data Science & Analytics","Miami, FL, United States","Internship","Data strategy","Data Studio","Excel","Power BI","Python","Research","at least one internship experience","seniors"
"Bosch Group","Internship for BigData Analysis in the areas of Project Management and SW Development Metrics","Abstatt, Germany","Internship","Azure","Big Data","Computer Science","Data analysis","Engineering","Excel","no experience","juniors"
"Informa Group Plc.","Data Analytics Intern (Summer 2023)","Washington, DC, United States","Internship","Big Data","BigQuery","Computer Science","Data analysis","Data Analytics","Data Studio","no experience","seniors"
"Facilities Management Express","Customer Data Specialist Intern","Columbus, Ohio, United States - Remote","Internship","Airtable","APIs","Business Analytics","Business Intelligence","Data visualization","ETL","no experience","freshman or sophomores"
"AppLovin","Project Manager Intern - SparkLabs","San Francisco Bay Area","Internship","Excel","Jira","Privacy","Testing","","","at least one internship experience","seniors"
"Chemix, Inc.","Machine Learning Research Engineer Internship","Sunnyvale, California, United States","Internship","Chemistry","CI/CD","Git","Machine Learning","ML models","NumPy","at least two internship experiences","juniors"
"Lyft","Canada - Early Talent - Data Science Intern, Decisions-Product - Montreal, Canada (Summer 2023)","Montreal, Canada","Internship","A/B testing","Biology","Computer Science","Economics","Engineering","Mathematics","at least two internship experiences","seniors"
"EcoVadis","Data Management Intern (12 months Internship)","Ebène, Mauritius","Internship","Classification","Data management","Excel","Research","","","no experience","seniors"
"Chemix, Inc.","Battery Data Science Intern","Sunnyvale, California, United States","Internship","Chemistry","CI/CD","Computer Science","Data pipelines","Engineering","Git","at least two internship experiences","freshman or sophomores"
"Roofstock","Data Engineering Intern","Oakland, CA","Internship","Computer Science","Engineering","Python","RDBMS","Scala","SQL","at least two internship experiences","juniors"
"SOMFY Group","Data Analyst (6 month internship) (M/F)","Cluses, France","Internship","Data management","Data quality","Industrial","R","R&D","Testing","no experience","freshman or sophomores"
"Verily","Data Science Intern, Registries and Real World Data","South San Francisco, CA","Internship","Biology","Computer Science","Data quality","Engineering","Machine Learning","Mathematics","at least two internship experiences","seniors"
"Bandwidth","Network Data Science Intern","Austin, TX","Internship","APIs","Privacy","","","","","no experience","seniors"
"Deutsche Telekom IT Solutions","Data Science Trainee - REF1574S","Budapest, Debrecen, Szeged, Pécs, Hungary","Full Time","Agile","Computer Science","Jira","Kanban","Keras","Machine Learning","at least two internship experiences","seniors"
"ALTEN","Stage - Ingénieur véhicule autonome","Sèvres, France","Full Time","Python","R","R&D","","","","at least one internship experience","seniors"
"Verily","Data Science Intern, Computational Biology","South San Francisco, CA","Internship","Architecture","Biology","Computer Science","Data analysis","EDA","Engineering","at least two internship experiences","juniors"
"ServiceNow","Data Analytics Intern, Innovation Operations","Santa Clara, CALIFORNIA, United States","Internship","Computer Science","Data Analytics","Data visualization","Economics","Excel","Finance","at least two internship experiences","juniors"
"Bosch Group","2023 Co-op Student - Digital Automation -- Data Analyst (May- Nov)","Oakbrook Terrace, IL, United States","Full Time","Computer Science","Engineering","Excel","Industrial","KNIME","Mathematics","at least two internship experiences","juniors"
"G2","Summer Intern: Data Science","Chicago","Internship","AWS","Data analysis","EDA","Machine Learning","ML infrastructure","NLP","at least two internship experiences","juniors"
"METRO/MAKRO","STAGE 6 mois - Data Scientist Junior H/F","Nanterre, France","Full Time","Big Data","Power BI","Python","R","SQL","","at least one internship experience","seniors"
"Cloudflare, Inc.","Data Engineer - Intern (Summer 2023)","San Francisco or Austin","Internship","Angular","APIs","Architecture","Computer Science","Data Analytics","Engineering","at least one internship experience","freshman or sophomores"
"Back Market","Business Data Analyst Intern (APAC)","Paris","Internship","Consulting","Data visualization","KPIs","Python","SQL","Tableau","at least two internship experiences","freshman or sophomores"
"Voodoo","Junior Data Analyst (end-of-studies internship)","Paris","Internship","Consulting","Engineering","Excel","Machine Learning","Mathematics","SQL","at least one internship experience","freshman or sophomores"
"Wavestone","Consultant.e.s – Stage/Alternance -  IT & Data Architecture","Nantes, France","Full Time","APIs","Architecture","AWS","Azure","Big Data","DevOps","at least two internship experiences","seniors"
"Deezer","Product Data Analyst Intern m/f/d","Paris, France","Internship","Data analysis","Data pipelines","Data visualization","KPIs","Pipelines","Python","at least one internship experience","juniors"
"Amazon.com","2023 Business Intelligence Engineer Internship","Milan, Lombardy, ITA","Full Time","AWS","Business Intelligence","Computer Science","Data Mining","Data pipelines","Data warehouse","at least two internship experiences","juniors"
"Syngenta Group","Data Scientist Trainee (m/w/d)","Frankfurt am Main, Germany","Full Time","AWS","Big Data","Data Mining","Deep Learning","Machine Learning","NoSQL","at least two internship experiences","seniors"
"Publicis Groupe","Data Science & Analytics, Summer Intern","Springdale, AR, United States","Internship","Data visualization","Excel","Mathematics","Statistics","STEM","Tableau","no experience","freshman or sophomores"
"Wavestone","Business Intelligence & Data Visualization","Paris, France","Full Time","Agile","Business Intelligence","Data visualization","Machine Learning","Research","UX","at least two internship experiences","juniors"
"Moloco","Data Analyst Intern - Singapore","Singapore, Central Singapore, Singapore","Internship","Data analysis","GCP","Google Cloud","Machine Learning","ML models","Python","no experience","freshman or sophomores"
"Funding Societies","Data Analyst Intern","Bangkok, Bangkok, Thailand - Remote","Internship","Business Intelligence","Data Analytics","Data visualization","Data warehouse","Finance","FinTech","at least one internship experience","freshman or sophomores"
"Guardant Health","Machine Learning/Artificial Intelligence Intern","Palo Alto, CA, United States","Internship","Biology","Computer Science","HPC","Linux","Machine Learning","NLP","at least two internship experiences","seniors"
"Merlin Labs","NLP Software Engineer, Intern","Boston","Internship","BERT","Computer Science","Data analysis","GitHub","GPT","Machine Learning","at least two internship experiences","seniors"
"Snowflake Inc.","Data Engineer - Intern","Pune, India","Internship","Airflow","APIs","AWS","Azure","Computer Science","Data pipelines","at least one internship experience","juniors"
"Outrider","Perception Intern, Deep Learning Data","Brighton, Colorado","Internship","AWS","Deep Learning","Docker","Git","Lidar","Python","no experience","freshman or sophomores"
"Moloco","Data Analyst Intern - Korea","Gangnam-gu, Seoul, South Korea","Internship","Data analysis","GCP","Google Cloud","Machine Learning","ML models","Python","at least one internship experience","juniors"
"Bosch Group","[Intern] AI/ Computer Vision Engineer","Tân Bình, Vietnam","Full Time","Computer Science","Computer Vision","Consulting","Deep Learning","Economics","Engineering","at least one internship experience","seniors"
"Bosch Group","Intern, AI research engineer","Singapore, Singapore","Internship","Computer Science","Computer Vision","Deep Learning","Engineering","Industrial","Machine Learning","no experience","seniors"
"Western Digital","Phd -Interns, Data Scientist","Bengaluru, India","Full Time","Agile","Architecture","Classification","Data Mining","Data pipelines","Deep Learning","at least one internship experience","seniors"
"Schrödinger","Computational Biology Intern","New York","Internship","Biology","Computer Science","Deep Learning","Drug discovery","Machine Learning","Python","no experience","juniors"
"Amazon.com","Amazon Robotics - Applied Scientist Intern/Co-op - 2023","Westborough, Massachusetts, USA","Full Time","Computer Science","Computer Vision","Engineering","Machine Learning","Mathematics","PhD","at least one internship experience","seniors"
"Block","PhD Machine Learning Engineer Intern (Summer 2023)","San Francisco, CA, United States","Internship","Architecture","AWS","Banking","Blockchain","Computer Science","Crypto","at least two internship experiences","juniors"
"Chime","Reporting and Data Infrastructure Intern","Remote, San Francisco","Internship","Banking","Computer Science","Data governance","FinTech","LookML","Privacy","no experience","juniors"
"Jump Trading","Campus | Data Engineer (Intern)","Singapore","Internship","Data Analytics","Economics","Engineering","Finance","Linux","MySQL","at least one internship experience","freshman or sophomores"
"Cloudflare, Inc.","Data Analyst Intern (Summer 2023)","Remote US","Internship","Big Data","BigQuery","Computer Science","Data Analytics","Engineering","Finance","at least one internship experience","juniors"
"Block","Data Science Intern (Summer 2023)","San Francisco, CA, United States","Internship","A/B testing","Airflow","Banking","BigQuery","Blockchain","Computer Science","at least one internship experience","freshman or sophomores"
"GoodRx","Data Engineer Internship","Santa Monica, CA","Internship","AWS","Data pipelines","DevOps","Engineering","ETL","Excel","no experience","juniors"
"Chime","Data Analytics Intern: Consumer Economics","San Francisco, CA","Internship","Banking","Data Analytics","Data visualization","Economics","FinTech","Privacy","at least two internship experiences","seniors"
"Guardant Health","Grad Intern: Bioinformatics/Assay Data Visualization and Analysis","Palo Alto, CA, United States","Full Time","Data Analytics","Data visualization","Engineering","Matplotlib","PhD","Plotly","at least two internship experiences","seniors"
"605","Data Operations Intern (Quality Assurance)","Syosset, New York, United States","Internship","Agile","Databricks","DataOps","Excel","Jira","PySpark","at least one internship experience","seniors"
"Etsy","Data Science Intern","Brooklyn, NY, United States","Full Time","Causal inference","Computer Science","Economics","Machine Learning","PhD","Python","at least one internship experience","juniors"
"CleverConnect","Data Engineer / Data Analyst - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","at least one internship experience","seniors"
"ManoMano","[Internship] - Junior Data Scientist #2 (W/M)","Paris 75017","Internship","Agile","Biology","Computer Science","Data analysis","E-commerce","Economics","at least one internship experience","freshman or sophomores"
"ManoMano","[Internship] - Junior Data Scientist #1 (W/M)","Paris 75017","Internship","Agile","Biology","Computer Science","Data analysis","E-commerce","Economics","at least two internship experiences","freshman or sophomores"
"Western Digital","PhD Intern - Data Science","Bengaluru, India","Internship","Big Data","Computer Science","Data Analytics","Deep Learning","Engineering","Linear algebra","at least one internship experience","freshman or sophomores"
"Bosch Group","Jr Data Engineer - Internship","Cernusco sul Naviglio, Italy","Full Time","Business Intelligence","Computer Science","Data analysis","Engineering","Industrial","Mathematics","at least one internship experience","seniors"
"605","Engineering Intern (Data Engineering)","Syosset, New York, United States","Internship","Agile","Architecture","AWS","Azure","Big Data","Data visualization","at least one internship experience","freshman or sophomores"
"Enterpret","[Internship] Machine Learning","Remote (India)","Internship","Deep Learning","Linear algebra","Machine Learning","NLP","NumPy","Pandas","at least two internship experiences","freshman or sophomores"
"Lightcast","Research Analyst Intern (Summer 2023 )","Remote (Work From Home) US","Internship","Consulting","Economics","Excel","Python","Research","SQL","no experience","freshman or sophomores"
"605","Data Operations Intern (Data Management)","Syosset, New York, United States","Internship","Agile","Databricks","Data management","DataOps","Data quality","Excel","no experience","seniors"
"Chemix, Inc.","Machine Learning Research Engineer Internship","Sunnyvale, California, United States","Internship","Chemistry","CI/CD","Git","Machine Learning","ML models","NumPy","no experience","juniors"
"Fifty-Five","Data Scientist Intern","Paris, Île-de-France, France","Internship","Deep Learning","NumPy","Pandas","Python","R","R&D","no experience","juniors"
"Western Digital","Intern, Data Engineering - Digital Innovation (Summer 2023)","Milpitas, CA, United States","Full Time","Computer Science","Data analysis","Data pipelines","Data quality","EDA","Engineering","at least two internship experiences","juniors"
"Zeta Global","Data Science & Analytics Intern","New York City, NY","Internship","Business Intelligence","Data pipelines","ETL","Machine Learning","MySQL","Pipelines","at least one internship experience","juniors"
"Bosch Group","AI/ML Graduate Intern with Focus on AI Engineering (6 - 12 Months)","Mount Prospect, IL, United States","Internship","AWS","Azure","Computer Science","Engineering","GCP","Industrial","at least two internship experiences","seniors"
"takealot.com","Data Analytics Intern","Cape Town","Internship","Data Analytics","E-commerce","","","","","at least two internship experiences","seniors"
"Recorded Future, Inc.","Data Science Intern","Boston, MA","Internship","Python","Security","","","","","at least two internship experiences","juniors"
"Verisk","Data Analytics Intern (Pricing Analyst) - 2023  Summer Internship Program - CR","Kraków, Poland","Part Time","Business Intelligence","Data analysis","Data Analytics","Data management","Data quality","Data visualization","at least two internship experiences","juniors"
"Unite Us","Internship: Data Analyst Intern","New York City","Internship","Computer Science","Data Analytics","Mathematics","Physics","SQL","Statistics","at least two internship experiences","juniors"
"CleverConnect","Data Analyst - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","at least one internship experience","juniors"
"Bosch Group","Internship Big Data for Fleet Validation","Stuttgart, Germany","Full Time","Agile","Azure","Big Data","Data analysis","Databricks","Engineering","at least one internship experience","seniors"
"CleverConnect","Data Engineer - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","at least two internship experiences","seniors"
"Balbix","AI/ML Summer Intern","San Jose, CA","Internship","Data pipelines","Distributed Systems","Engineering","Linear algebra","Machine Learning","ML infrastructure","at least one internship experience","seniors"
"Unite Us","Internship: Data Science Intern","New York City","Internship","Computer Science","Mathematics","Pandas","Physics","Python","Research","no experience","seniors"
"Syngenta Group","Data Scientist Trainee (m/w/d)","Frankfurt am Main, Germany","Full Time","AWS","Big Data","Data Mining","Deep Learning","Machine Learning","NoSQL","at least one internship experience","seniors"
"Dyno Therapeutics","Machine Learning Engineer Summer 2023 Internship","Watertown, MA","Internship","Biology","Computer Science","Engineering","Machine Learning","Mathematics","ML infrastructure","at least one internship experience","seniors"
"Burro","Machine Learning Internship","Philadelphia, PA","Internship","Computer Vision","CUDA","Deep Learning","Engineering","GPU","Machine Learning","at least one internship experience","freshman or sophomores"
"Publicis Groupe","Digital Data Analyst","Bogotá, Colombia","Full Time","Data Studio","Excel","Jira","Spark","","","at least two internship experiences","juniors"
"Shift Technology","Data Scientist (End-of-studies Internship)","France - Paris","Internship","Big Data","Chatbots","Computer Science","Engineering","Machine Learning","Mathematics","at least one internship experience","juniors"
"Outrider","Data Analyst Intern","Golden, Colorado","Internship","Athena","AWS","Computer Science","Data analysis","Data Analytics","Data visualization","at least two internship experiences","freshman or sophomores"
"Guardant Health","Bioinformatics Intern, Machine Learning","Palo Alto, CA, United States","Full Time","AWS","Biology","Data analysis","Genetics","Git","GitHub","at least one internship experience","juniors"
"Bosch Group","AI/ML Graduate Intern with Focus on AI Engineering","Mount Prospect, IL, United States","Internship","AWS","Azure","Computer Science","Engineering","GCP","Industrial","no experience","seniors"
"Publicis Groupe","Summer Internship - Data Science / Advanced Analytics","Los Angeles, CA, United States","Part Time","Excel","R","","","","","at least two internship experiences","juniors"
"Fetch","Data Analytics Internship","Madison, WI","Internship","Data Analytics","Grafana","Python","SQL","Statistics","Tableau","at least two internship experiences","freshman or sophomores"
"Vention","Computer vision Developer Intern","Montréal, QC, Canada","Internship","Computer Vision","Distributed Systems","GPU","JavaScript","Jupyter","Mathematics","no experience","juniors"
"Guardant Health","Machine Learning/Artificial Intelligence Intern","Palo Alto, CA, United States","Internship","Biology","Computer Science","HPC","Linux","Machine Learning","NLP","no experience","freshman or sophomores"
"Bosch Group","Academic Internship - Deep Learning, Synthetic Data","Braga, Portugal","Internship","Autonomous Driving","Computer Science","Computer Vision","Deep Learning","Lidar","Machine Learning","no experience","juniors"
"Bosch Group","Academic Internship - Deep Learning, Multi-Task","Braga, Portugal","Internship","Computer Science","Computer Vision","Deep Learning","Lidar","Machine Learning","Physics","at least two internship experiences","seniors"
"Western Digital","Phd -Interns, Data Scientist","Bengaluru, India","Full Time","Big Data","Computer Science","Data Analytics","Engineering","Machine Learning","PhD","at least one internship experience","seniors"
"Guardant Health","Business Application Intern, Machine Learning","Palo Alto, CA, United States","Internship","Architecture","AWS","Computer Science","Engineering","Machine Learning","Privacy","no experience","seniors"
"Snyk","Data Analytics Intern","Boston","Internship","Computer Science","Data Analytics","Looker","Prototyping","Security","SQL","no experience","seniors"
"Publicis Groupe","Data Sciences Intern(Smart's)","Madrid, Spain","Part Time","Data analysis","Economics","Engineering","Mathematics",".NET","RDBMS","at least one internship experience","juniors"
"CGG","Internship – Machine Learning/MLOps Engineer (6 months)","Massy, France","Full Time","CI/CD","Computer Science","Engineering","HPC","Machine Learning","MLFlow","at least one internship experience","seniors"
"Western Digital","Intern, Data Engineering (Summer 2023)","San Jose, CA, United States","Internship","AWS","Big Data","Computer Science","Data analysis","Data Analytics","Data pipelines","at least two internship experiences","freshman or sophomores"
"Bosch Group","Internship Embedded AI Engineering","Reutlingen, Germany","Full Time","Computer Science","Deep Learning","Engineering","Machine Learning","Mathematics","Physics","at least one internship experience","juniors"
"Rokt","Data Analyst Intern","New York City, United States","Internship","Agile","Big Data","Business Analytics","Computer Science","Data analysis","E-commerce","no experience","seniors"
"Shippeo","Data Scientist - Internship","Paris, France","Internship","Classification","Machine Learning","ML models","NumPy","Pandas","Python","at least two internship experiences","freshman or sophomores"
"Vention","Computer vision Developer","Montréal, QC, Canada","Full Time","Computer Vision","Distributed Systems","GPU","JavaScript","Jupyter","Mathematics","at least one internship experience","juniors"
"CleverConnect","Data Engineer / Data Analyst - Stage de fin d'études - Paris 2e","Paris, France","Full Time","Agile","Architecture","AWS","BigQuery","Dataflow","Data visualization","at least two internship experiences","juniors"
"Abarca Health","Intern, Data Engineer","Remote","Internship","Business Intelligence","Computer Science","ELT","Engineering","Healthcare technology","Snowflake","no experience","freshman or sophomores"
