"gender","grad_year","transfer","major","minor","courses","returning_member","prog_lang_exp","python_package","intern_job_count","club_resource"
"Male","2026","No","Mathematics/Applied Mathematics","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, Math 117, PSTAT 10, PSTAT 120A","No","Python, R","",1,"Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Economics/Economics & Accounting, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B","No","Python, R","",0,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups"
"Female","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, Math 117, PSTAT 120A","No","Python, R, SQL","Pandas",1,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Economics/Economics & Accounting, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126","No","Python, R, SQL","NumPy, Pandas",3,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 8/PSTAT 8/CS 40, PSTAT 10","No","C/C++, JavaScript/TypeScript, Python, R, SQL","NumPy, Pandas, SciPy",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Economics/Economics & Accounting, Statistics & Data Science","","CS 9, Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126","Yes","Java, Python, R, SQL","NumPy, Pandas",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, PSTAT 10, PSTAT 120A, PSTAT 120B","Yes","C/C++, Java, JavaScript/TypeScript, Python, R, SQL","NumPy, Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups"
"Male","2026","No","Financial Math & Statistics","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B","Yes","Python, R, SQL","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40","No","C/C++, Python, R","Pandas",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","Yes","Python, R, SQL","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups"
"Male","2026","No","Economics/Economics & Accounting, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 160A/160B","Yes","C/C++, Python, R, SQL","NumPy, Pandas, PyTorch, Scikit-learn, SciPy",2,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Statistics & Data Science, Sociology","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A","No","C/C++, Python","NumPy, Pandas",0,"Career fair, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events"
"Female","2026","No","Economics/Economics & Accounting, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126","Yes","Python, R","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A","Yes","Python, R","NumPy, Pandas",0,"Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","Yes","Python, R, SQL","NumPy",1,"Career fair, Project groups"
"Male","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B","No","Java, Python, R, SQL","",0,"Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B","No","C/C++, Python, R, SQL","",0,"Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","No","C/C++, JavaScript/TypeScript, Python, R, SQL","NumPy, Pandas",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","No","biology","statistics!","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A","No","Python, R","",4,"Company talks & Data talks, Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Psychological & Brain Sciences, Statistics & Data Science","","CS 9, Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B","No","Python, R, SQL","NumPy",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus)","No","C/C++, Java, JavaScript/TypeScript, Python, SQL","NumPy, Pandas, PyTorch, Tensorflow",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","No","Statistics & Data Science","Applied Psychology","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B","No","Python, R, SQL","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","No","Psychological & Brain Sciences, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A","No","Python, R, SQL","NumPy",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","CS 9, CS 165A/165B, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, PSTAT 10, PSTAT 120A, PSTAT 131","No","C/C++, Java, Python, R, SQL","NumPy, Pandas, PyTorch, Scikit-learn, Tensorflow",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups"
"Female","2026","No","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10","No","Python, R","",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Nonbinary","2026","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, PSTAT 10","No","C/C++, Java, Python, R, SQL","NumPy, Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Mathematics/Applied Mathematics, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B","No","Python, R, SQL","NumPy",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, PSTAT 10, PSTAT 120A","No","Java, Python","PyTorch, Tensorflow",1,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","No","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, PSTAT 10, PSTAT 120A","No","C/C++, Python, R, SQL","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Project groups"
"Male","2026","Yes","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 6A","No","","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 6A","No","","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","Yes","Financial Math & Statistics","","Calculus (Math 3A, 3B, or AP Calculus), PSTAT 160A/160B","No","Python, SQL","NumPy, Pandas",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Mathematics/Applied Mathematics, Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, Math 117, PSTAT 10","No","Python","",1,"Company talks & Data talks, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, PSTAT 10, PSTAT 120A","No","C/C++, Java, Python, R, SQL","",2,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A","No","C/C++, Python","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126","No","C/C++, Java, Python, R, SQL","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","No","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, PSTAT 10, PSTAT 120A, PSTAT 120B, PSTAT 126, PSTAT 131","Yes","C/C++, Java, JavaScript/TypeScript, Python, R, SQL","NumPy, Pandas, PyTorch, Scikit-learn, SciPy, Tensorflow",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Female","2026","No","Statistics & Data Science","Mathematics","CS 9, Calculus (Math 3A, 3B, or AP Calculus), Math 4A, Math 6A, Math 8/PSTAT 8/CS 40, Math 108A, Math 117, PSTAT 10, PSTAT 120A, PSTAT 120B","Yes","Python, R, SQL","NumPy, Pandas, Scikit-learn",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
"Male","2026","Yes","Statistics & Data Science","","Calculus (Math 3A, 3B, or AP Calculus), Math 4A","No","Java, R","",0,"Career fair, Company talks & Data talks, Professional workshops (e.g. Resume, LinkedIn, etc.), Social events, Project groups, Technical workshops (e.g. Python + Packages, Regression, Machine learning, etc.)"
